事件ID,發生日期,發生時間,地點,當事人,事件類型,事件描述,處理結果,處理人,嚴重度,後續追蹤
INC-2026-001,2026-03-12,10:25,瀑布觀景台,張先生(60歲男),受傷,觀景台台階濕滑跌倒腳踝扭傷,陪同就醫已通報林業署,賴宜承,需追蹤,後續復原追蹤至5/30
INC-2026-002,2026-03-15,14:00,遊客中心,陳小姐,遺失物,遺失藍色帆布包,當日傍晚由清潔人員拾獲歸還,賴貞蒨,一般,已結案
INC-2026-003,2026-03-20,11:30,停車場,團體遊客,客訴,大巴停車空間不足,協助暫停道路邊並協調聯絡,徐啟軒,一般,已結案
INC-2026-004,2026-04-02,15:40,森林浴步道,日本遊客,客訴,英日文解說標示不足,記錄回報林業署解說系統改善計畫,全于傑,需追蹤,已轉解說系統改善案
INC-2026-005,2026-04-18,09:00,瀑布觀景台,巡邏發現,其他,觀景台護欄鬆動,當日修復並回報設施維護,江進仕,需追蹤,設施維護已排定全面檢視
INC-2026-006,2026-04-25,12:15,遊客中心,某學生團體,受傷,學童跑步跌倒擦傷膝蓋,現場急救包處理已通知家長,賴貞蒨,一般,已結案
INC-2026-007,2026-05-05,13:20,森林浴步道,某個人遊客,遺失物,遺失手機,協助尋找未獲後續聯絡通知,徐啟軒,需追蹤,持續代為留意
INC-2026-008,2026-05-08,11:00,服務台,長者夫妻,客訴,廁所動線標示不清,張貼明顯標示並通報整改,賴貞蒨,一般,已結案
INC-2026-009,2026-05-12,16:30,停車場,某遊客車輛,其他,雨天路面積水險滑,通報林業署排水改善,全于傑,需追蹤,進入第二期改善計畫
INC-2026-010,2026-05-18,10:45,瀑布觀景台,某外籍遊客,受傷,蜂叮腿部紅腫,現場藥膏處理建議就醫,賴宜承,需追蹤,聯繫追蹤至5/25已無症狀
