教師編號,姓名,職類,認證類別,認證起日,認證迄日,年度授課時數,是否在職
T1000,張中華,護理師,教學護理師,114003-01,11712-31,0,是
T1001,李平和,護理師,教學護理師,114003-01,11709-31,29,是
T1002,王國華,醫師,指導醫師,114008-01,11508-31,33,是
T1003,陳大為,護理師,實習指導師,114009-01,11603-31,30,否
T1004,林建中,護理師,教學護理師,114011-01,11609-31,31,是
T1005,許志偉,護理師,實習指導師,114002-01,11705-31,15,是
T1006,黃慧美,護理師,PGY 指導師,114009-01,11503-31,9,是
T1007,吳淑芬,護理師,教學護理師,114012-01,11502-31,26,否
T1008,蔡智明,護理師,實習指導師,114007-01,11504-31,26,否
T1009,鄭佳玲,醫師,實習指導師,114008-01,11506-31,19,否
T1010,周美華,護理師,教學護理師,114008-01,11505-31,27,否
T1011,賴俊賢,醫師,實習指導師,114006-01,11711-31,25,是
