學員編號,姓名,部門,課程名稱,開課日,結訓日,出席率,考核分數,是否取得學分
S2000,吳淑芬,護理部,感控基礎,1141119,1141003,99,94,是
S2001,周美華,藥劑科,AI 應用入門,1141009,1141111,68,89,否
S2002,陳大為,放射,AI 應用入門,1141109,1141109,80,81,是
S2003,李平和,護理部,AI 應用入門,1141108,1141025,61,94,否
S2004,周美華,藥劑科,病安基礎,1141020,1141008,61,75,否
S2005,王國華,藥劑科,AI 應用入門,1141123,1141125,67,96,否
S2006,許志偉,檢驗,感控基礎,1141025,1141010,98,98,是
S2007,李平和,資訊室,評鑑實務,1141113,1141003,61,79,否
S2008,鄭佳玲,護理部,跨領域溝通,1141128,1141026,100,75,是
S2009,鄭佳玲,人資,病安基礎,1141103,1141101,82,94,是
S2010,黃慧美,醫務行政,AI 應用入門,1141123,1141014,66,87,否
S2011,王國華,資訊室,跨領域溝通,1141115,1141127,93,77,是
S2012,賴俊賢,放射,評鑑實務,1141027,1141009,77,80,否
S2013,吳淑芬,資訊室,感控基礎,1141111,1141016,89,96,是
S2014,許志偉,醫務行政,感控基礎,1141111,1141120,91,73,是
S2015,賴俊賢,資訊室,急救實作,1141003,1141024,95,60,否
S2016,黃慧美,檢驗,AI 應用入門,1141121,1141115,95,75,是
S2017,張中華,人資,病安基礎,1141010,1141116,78,74,否
S2018,蔡智明,檢驗,評鑑實務,1141112,1141109,82,87,是
S2019,林建中,檢驗,急救實作,1141011,1141024,74,67,否
S2020,蔡智明,藥劑科,跨領域溝通,1141109,1141104,71,72,否
S2021,陳大為,藥劑科,急救實作,1141101,1141009,74,83,否
S2022,張中華,檢驗,病安基礎,1141021,1141104,95,78,是
S2023,張中華,人資,評鑑實務,1141111,1141002,78,90,否
S2024,林建中,人資,AI 應用入門,1141103,1141005,67,64,否
S2025,王國華,藥劑科,評鑑實務,1141018,1141120,79,65,否
S2026,鄭佳玲,人資,評鑑實務,1141115,1141128,74,93,否
S2027,鄭佳玲,資訊室,AI 應用入門,1141020,1141025,79,96,否
S2028,陳大為,檢驗,跨領域溝通,1141006,1141006,73,76,否
S2029,蔡智明,人資,病安基礎,1141123,1141110,70,60,否
