活動代號,活動名稱,報名序號,員工編號,姓名,部門,職稱,報名日期,出席確認,餐食需求,交通方式,備註,簽到時間
ACT2024-01,Q2全員大會,001,E0215,林雅婷,業務處,業務專員,2024-06-01,是,葷食,自行前往,,2024-06-15 08:52
ACT2024-01,Q2全員大會,002,E0312,陳建宏,研發部,資深工程師,2024-06-01,是,素食,公司接駁,,2024-06-15 09:01
ACT2024-01,Q2全員大會,003,E0089,王淑芬,總務部,行政專員,2024-06-02,是,葷食,自行前往,協助佈置,2024-06-15 08:30
ACT2024-01,Q2全員大會,004,E0445,張世豪,製造部,課長,2024-06-02,否,,,臨時出差取消,
ACT2024-01,Q2全員大會,005,E0178,李美玲,品保部,品保工程師,2024-06-03,是,清真,公司接駁,,2024-06-15 09:05
ACT2024-01,Q2全員大會,006,E0523,吳俊德,財務部,會計師,2024-06-03,是,葷食,自行前往,,2024-06-15 09:10
ACT2024-01,Q2全員大會,007,E0267,黃思穎,人資部,人資主任,2024-06-04,是,葷食,公司接駁,,2024-06-15 08:55
ACT2024-01,Q2全員大會,008,E0391,蔡明遠,MIS部,系統工程師,2024-06-04,是,葷食,自行前往,,2024-06-15 09:08
ACT2024-02,2024下半年教育訓練,001,E0215,林雅婷,業務處,業務專員,2024-07-10,是,葷食,自行前往,,2024-07-25 09:00
ACT2024-02,2024下半年教育訓練,002,E0089,王淑芬,總務部,行政專員,2024-07-10,是,葷食,自行前往,,2024-07-25 08:58
ACT2024-02,2024下半年教育訓練,003,E0623,林志宏,業務處,業務主任,2024-07-11,是,葷食,公司接駁,,2024-07-25 09:03
ACT2024-02,2024下半年教育訓練,004,E0178,李美玲,品保部,品保工程師,2024-07-11,否,,,請假,
ACT2024-02,2024下半年教育訓練,005,E0312,陳建宏,研發部,資深工程師,2024-07-12,是,素食,自行前往,,2024-07-25 09:12
ACT2024-03,年度供應商感謝晚宴,001,E0089,王淑芬,總務部,行政專員,2024-10-01,是,葷食,公司接駁,主辦窗口,2024-10-20 17:45
ACT2024-03,年度供應商感謝晚宴,002,E0267,黃思穎,人資部,人資主任,2024-10-01,是,葷食,公司接駁,,2024-10-20 17:52
ACT2024-03,年度供應商感謝晚宴,003,E0002,張國維,總管理處,副總經理,2024-10-02,是,葷食,自行前往,,2024-10-20 17:38
ACT2024-03,年度供應商感謝晚宴,004,E0445,張世豪,製造部,課長,2024-10-02,是,葷食,公司接駁,,2024-10-20 17:55
ACT2024-03,年度供應商感謝晚宴,005,E0523,吳俊德,財務部,會計師,2024-10-02,否,,,加班無法出席,
