員工編號,姓名,部門,職稱,職級,年資(年),飲食需求,備註
E0001,吳明哲,總管理處,總經理,M8,20,葷食,
E0002,張國維,總管理處,副總經理,M7,15,葷食,
E0003,蔡雅雯,總管理處,特助,P4,8,葷食,
E0045,林佳穗,業務處,業務副總,M6,12,葷食,
E0089,王淑芬,總務部,行政專員,P3,5,葷食,
E0178,李美玲,品保部,品保工程師,P3,4,清真,穆斯林，不吃豬肉
E0215,林雅婷,業務處,業務專員,P2,3,葷食,
E0267,黃思穎,人資部,人資主任,P5,10,葷食,
E0312,陳建宏,研發部,資深工程師,P5,9,素食,全素
E0391,蔡明遠,MIS部,系統工程師,P4,6,葷食,
E0445,張世豪,製造部,課長,M4,11,葷食,
E0523,吳俊德,財務部,會計師,P4,7,葷食,
E0556,許雅琪,研發部,研發工程師,P3,3,葷食,
E0589,劉正宏,業務處,業務副理,P4,8,葷食,
E0612,蘇宜婷,品保部,QC技術員,P2,2,葷食,新進員工
E0623,林志宏,業務處,業務主任,P5,11,葷食,
E0645,張俊彥,製造部,生產組長,M3,7,葷食,
E0678,陳美芳,財務部,財務主任,P5,9,素食,蛋奶素
E0701,吳聖凱,研發部,研發副理,P4,6,葷食,
E0712,許明哲,MIS部,MIS主任,P5,10,葷食,
E0724,林如玉,人資部,人資專員,P3,4,葷食,
E0738,黃振宇,採購組,採購主任,P5,8,葷食,
E0749,陳立偉,廠務組,廠務工程師,P3,3,葷食,
E0761,蔡美惠,文管組,文管專員,P3,5,葷食,
E0775,王偉宏,製造部,IE工程師,P3,4,葷食,
